first_name,last_name,position,affiliation,page_type,url
Max Friedrich,Steinhardt,Professor,Freie Universität Berlin,PUB,https://sites.google.com/site/maxfriedrichsteinhardt/home/research
Max Friedrich,Steinhardt,Professor,Freie Universität Berlin,WP,https://sites.google.com/site/maxfriedrichsteinhardt/home/working-papers
Max Friedrich,Steinhardt,Professor,Freie Universität Berlin,HOME,https://sites.google.com/site/maxfriedrichsteinhardt/home
Thomas,Rieger,PhD,DIW Berlin,HOME,https://sites.google.com/view/thomasrieger
Lorenz,Meister,PhD,DIW Berlin,RES,https://lorenzmeister.com/Research
Lorenz,Meister,PhD,DIW Berlin,HOME,https://lorenzmeister.com/
Daniel,Graeber,Post-Doc,DIW Berlin,HOME,https://www.daniel-graeber.com/home
Daniel,Graeber,Post-Doc,DIW Berlin,RES,https://www.daniel-graeber.com/research
Mattis,Beckmannshagen,Post-Doc,DIW Berlin,HOME,https://www.mbeckmannshagen.com/
Mattis,Beckmannshagen,Post-Doc,DIW Berlin,RES,https://www.mbeckmannshagen.com/research
Magne,Mogstad,Professor,University of Chicago,HOME,https://sites.google.com/site/magnemogstad/
Magne,Mogstad,Professor,University of Chicago,PUB,https://sites.google.com/site/magnemogstad/home/publications/
Christine,Blandhol,PhD,Princeton University,HOME,https://sites.google.com/view/cblandhol/
Christine,Blandhol,PhD,Princeton University,RES,https://sites.google.com/view/cblandhol/research
Lancelot Henry,de Frahan,Post-Doc,University of Chicago,HOME,https://sites.google.com/view/lancelothenrydefrahan/home/
Jan,Stuckatz,Assistant Professor,Copenhagen Business School,HOME,https://www.janstuckatz.com/
Jan,Stuckatz,Assistant Professor,Copenhagen Business School,PUB,https://www.janstuckatz.com/publications
Jan,Stuckatz,Assistant Professor,Copenhagen Business School,WP,https://www.janstuckatz.com/work-in-progress
Edwin,Leuven,Professor,University of Oslo,HOME,https://leuven.economists.nl/
Edwin,Leuven,Professor,University of Oslo,PUB,https://leuven.economists.nl/pubs/
Edwin,Leuven,Professor,University of Oslo,WP,https://leuven.economists.nl/papers/
Jonathan,Federle,Researcher,Kiel Institute / LMU Munich,HOME,https://sites.google.com/view/jonathanfederle
André,Meier,Economist,Tudor Capital Europe,HOME,https://andremeier.com/
Gernot J.,Müller,Professor,University of Tübingen,HOME,https://sites.google.com/site/muellergernot/
Willi,Mutschler,Assistant Professor,University of Tübingen,HOME,https://mutschler.eu/
Willi,Mutschler,Assistant Professor,University of Tübingen,RES,https://mutschler.eu/research/
Moritz,Schularick,President / Professor,Kiel Institute for the World Economy / Sciences Po,HOME,https://www.moritzschularick.com/
Stephen J.,Terry,Associate Professor,University of Michigan,HOME,https://public.websites.umich.edu/~sjterry/
Thomas,Chaney,Professor,University of Southern California,HOME,https://sites.google.com/site/thomaschaney/
Thomas,Chaney,Professor,University of Southern California,RES,https://sites.google.com/site/thomaschaney/research
Konrad B.,Burchardi,Professor,IIES Stockholm University,HOME,http://perseus.iies.su.se/~kburc/
Konrad B.,Burchardi,Professor,IIES Stockholm University,RES,http://perseus.iies.su.se/~kburc/research.php
Lisa,Tarquinio,Assistant Professor,University of Western Ontario,HOME,https://sites.google.com/view/lisatarquinio/home
Lisa,Tarquinio,Assistant Professor,University of Western Ontario,RES,https://sites.google.com/view/lisatarquinio/research
Tarek A.,Hassan,Professor,Boston University,HOME,https://www.tarek-hassan.com/
Tarek A.,Hassan,Professor,Boston University,PUB,https://sites.google.com/site/tarekalexanderhassan/papers
Mark,Gertler,Professor,New York University,HOME,https://wp.nyu.edu/markgertler/
Mark,Gertler,Professor,New York University,PUB,https://wp.nyu.edu/markgertler/publications-and-working-papers/
Christopher,Huckfeldt,Senior Economist,Federal Reserve Board,HOME,https://christopher-huckfeldt.github.io/
Christopher,Huckfeldt,Senior Economist,Federal Reserve Board,RES,https://christopher-huckfeldt.github.io/research/
Gordon B.,Dahl,Professor,UC San Diego,HOME,https://econweb.ucsd.edu/~gdahl/
Matthew,Knepper,Senior Economist,Amazon,HOME,https://sites.google.com/site/mattmknepper
Matthew,Knepper,Senior Economist,Amazon,RES,https://sites.google.com/site/mattmknepper/research
Shani,Cohen,Post-Doc,Hebrew University,HOME,https://www.shanicohen.org/
Shengwu,Li,Professor,Harvard University,HOME,https://www.shengwu.li/
Diego,Gentile Passaro,Senior Economist,Amazon,HOME,https://diegogentilepassaro.github.io/
Diego,Gentile Passaro,Senior Economist,Amazon,RES,https://diegogentilepassaro.github.io/research/
Fuhito,Kojima,Professor,University of Tokyo,HOME,https://fuhitokojima.com/
Bobak,Pakzad-Hurson,Assistant Professor,Brown University,HOME,https://sites.google.com/a/brown.edu/bph/home
Bobak,Pakzad-Hurson,Assistant Professor,Brown University,RES,https://sites.google.com/a/brown.edu/bph/research
Verónica,Bäcker-Peral,PhD Student,MIT,HOME,https://sites.google.com/view/veronicabp/home
Verónica,Bäcker-Peral,PhD Student,MIT,RES,https://sites.google.com/view/veronicabp/research
Jonathon,Hazell,Assistant Professor,London School of Economics,HOME,https://sites.google.com/view/jadhazell/home
Jonathon,Hazell,Assistant Professor,London School of Economics,PUB,https://sites.google.com/view/jadhazell/papers-discussions
Atif,Mian,Professor,Princeton University,HOME,https://atif.scholar.princeton.edu/
Sahil,Chinoy,Postdoctoral Associate,Yale University,HOME,https://www.sahilchinoy.com/
Nathan,Nunn,Professor,University of British Columbia,HOME,https://nathannunn.arts.ubc.ca/
Nathan,Nunn,Professor,University of British Columbia,RES,https://nathannunn.arts.ubc.ca/research/
Sandra,Sequeira,Professor,London School of Economics,HOME,https://sites.google.com/view/sandramgsequeira/home
Stefanie,Stantcheva,Professor,Harvard University,HOME,https://www.stefanie-stantcheva.com/
Stefanie,Stantcheva,Professor,Harvard University,RES,https://www.stefanie-stantcheva.com/research/
Johannes,Hörner,Professor,Yale University,HOME,https://sites.google.com/site/jo4horner/
Larry,Samuelson,Professor,Yale University,HOME,https://sites.google.com/site/larryatyale/
Fiona,Burlig,Assistant Professor,University of Chicago,HOME,https://www.fionaburlig.com/
Fiona,Burlig,Assistant Professor,University of Chicago,RES,https://www.fionaburlig.com/research
Amir,Jina,Assistant Professor,University of Chicago,HOME,https://amirjina.com/
Amir,Jina,Assistant Professor,University of Chicago,RES,https://www.amirjina.com/research/
Anant,Sudarshan,Professor,University of Warwick,HOME,https://www.anantsudarshan.com/
Anant,Sudarshan,Professor,University of Warwick,PUB,https://www.anantsudarshan.com/papers.html